WHO report date;Total Cases, Guinea;Total Deaths, Guinea;Total Cases, Liberia;Total Deaths, Liberia;Total Cases, Sierra Leone;Total Deaths, Sierra Leone;Total Cases;Total Deaths
2015/07/15;3760;2506;10673;4808;13209;3947;27642;11261
2015/07/14;3760;2506;10673;4808;13209;3947;27642;11261
2015/07/13;3754;2506;10672;4807;13201;3946;27627;11259
2015/07/10;3751;2505;10672;4807;13177;3941;27600;11253
2015/07/09;3744;2505;10672;4807;13169;3941;27585;11253
2015/07/08;3748;2499;10670;4807;13155;3940;27573;11246
2015/07/05;3748;2499;10670;4807;13155;3940;27573;11246
2015/07/04;3744;2492;10670;4807;13150;3940;27564;11245
2015/07/03;3750;2492;10706;4811;13135;3935;27591;11238
2015/06/30;3745;2490;10666;4806;13129;3933;27540;11229
2015/06/30;3729;2482;10666;4806;13119;3932;27514;11220
2015/06/29;3724;2482;10666;4806;13115;3932;27505;11220
2015/06/24;3720;2480;10666;4806;13093;3931;24479;11217
2015/06/23;3718;2480;10666;4806;13083;3931;27467;11217
2015/06/21;3718;2473;10666;4806;13059;3928;27443;11207
2015/06/17;3674;2446;10666;4806;13012;3926;27352;11178
2015/06/16;3675;2445;10666;4806;12990;3922;27331;11173
2015/06/14;3678;2444;10666;4806;12965;3919;27309;11169
2015/06/13;3677;2443;10666;4806;12962;3919;27305;11168
2015/06/10;3677;2440;10666;4806;12932;3917;27275;11163
2015/06/09;3674;2440;10666;4806;12911;3917;27251;11163
2015/06/07;3670;2437;10666;4806;12901;3915;27237;11158
2015/06/06;3669;2435;10666;4806;12884;3913;27219;11154
2015/06/05;3664;2431;10666;4806;12859;3912;27189;11149
2015/06/04;3657;2431;10666;4806;12850;3912;27173;11149
2015/05/31;3652;2429;10666;4806;12827;3912;27145;11147
2015/05/30;3653;2428;10666;4806;12816;3911;27135;11145
2015/05/27;3644;2425;10666;4806;12745;3911;27055;11142
2015/05/26;3639;2423;10666;4806;12735;3911;27040;11140
2015/05/24;3641;2420;10666;4806;12706;3908;27013;11134
2015/05/20;3647;2412;10666;4806;12666;3907;26979;11125
2015/05/19;3649;2409;10666;4806;12656;3907;26971;11122
2015/05/16;3626;2405;10666;4806;12593;3906;26885;11117
2015/05/13;3619;2401;10604;4769;12540;3904;26763;11074
2015/05/12;3615;2399;10604;4769;12536;3904;26755;11072
2015/05/10;3597;2392;10604;4769;12523;3904;26724;11065
2015/05/09;3599;2391;10604;4769;12519;3904;26722;11064
2015/05/06;3592;2387;10564;4716;12492;3904;26648;11007
2015/05/05;3592;2387;10564;4716;12470;3904;26626;11007
2015/05/03;3589;2386;10564;4716;12440;3903;26593;11005
2015/05/03;3589;2386;10507;4691;12440;3903;26536;10980
2015/05/02;3591;2385;10322;4608;12426;3902;26339;10895
2015/04/29;3578;2383;10322;4608;12398;3901;26298;10892
2015/04/28;3581;2381;10322;4608;12387;3901;26290;10890
2015/04/26;3584;2377;10322;4608;12371;3899;26277;10884
2015/04/24;3585;2374;10212;4573;12362;3895;26159;10842
2015/04/22;3576;2365;10212;4573;12313;3886;26101;10824
2015/04/21;3568;2362;10212;4573;12294;3885;26074;10820
2015/04/19;3565;2358;10212;4573;12267;3877;26044;10808
2015/04/19;3565;2358;10042;4486;12256;3877;25872;10721
2015/04/18;3565;2357;10042;4486;12256;3872;25863;10715
2015/04/17;3569;2351;10042;4486;12244;3865;25855;10702
2015/04/16;3566;2348;10042;4486;12223;3865;25831;10699
2015/04/15;3548;2346;10042;4486;12201;3857;25791;10689
2015/04/14;3548;2346;9862;4408;12201;3857;25611;10611
2015/04/13;3541;2342;9862;4408;12188;3854;25591;10604
2015/04/10;3524;2337;9862;4408;12170;3842;25556;10587
2015/04/09;3515;2335;9862;4408;12155;3841;25532;10584
2015/04/08;3515;2333;9862;4408;12138;3831;25515;10572
2015/04/07;3515;2333;9862;4408;12139;3832;25516;10573
2015/04/02;3494;2320;9712;4332;12022;3810;25228;10462
2015/04/01;3492;2314;9712;4332;11974;3799;25178;10445
2015/03/31;3492;2314;9712;4332;11974;3799;25178;10445
2015/03/30;3485;2305;9602;4301;11943;3792;25030;10398
2015/03/27;3466;2276;9602;4301;11889;3773;24957;10350
2015/03/26;3459;2273;9602;4301;11866;3764;24927;10338
2015/03/25;3429;2263;9602;4301;11841;3747;24872;10311
2015/03/18;3389;2224;9526;4264;11751;3691;24666;10179
2015/03/11;3285;2170;9343;4162;11619;3629;24247;9961
2015/03/04;3219;2129;9249;4117;11466;3546;23934;9792
2015/02/25;3155;2091;9238;4037;11301;3461;23694;9589
2015/02/18;3108;2057;9007;3900;11103;3408;23218;9365
2015/02/11;3044;1995;8881;3826;10934;3341;22859;9162
2015/02/04;2975;1944;8745;3746;10740;3276;22460;8966
2015/01/28;2917;1910;8622;3686;10518;3199;22057;8795
2015/01/21;2871;1876;8478;3605;10340;3145;21689;8626
2015/01/14;2806;1814;8331;3538;10124;3062;21261;8414
2015/01/07;2775;1781;8157;3496;9780;2943;20712;8220
2014/12/31;2707;1708;8018;3423;9446;2758;20171;7889
2014/12/24;2597;1607;7862;3384;9004;2582;19463;7573
2014/12/17;2416;1525;7797;3290;8356;2085;18569;6900
2014/12/10;2292;1428;7719;3177;7897;1768;17908;6373
2014/12/03;2164;1327;7635;3145;7312;1583;17111;6055
2014/11/28;2155;1312;7635;3145;7109;1530;16899;5987
2014/11/26;2134;1260;7168;3016;6599;1398;15901;5674
2014/11/21;2047;1214;7082;2963;6190;1267;15319;5444
2014/11/19;1971;1192;7069;2964;6073;1250;15113;5406
2014/11/14;1919;1166;6878;2812;5586;1187;14383;5165
2014/11/12;1878;1142;6822;2836;5368;1169;14068;5147
2014/11/07;1760;1054;6619;2766;4862;1130;13241;4950
2014/11/05;1731;1041;6525;2697;4759;1070;13015;4808
2014/10/31;1667;1018;6535;2413;5338;1510;13540;4941
2014/10/29;1906;997;6535;2413;5235;1500;13676;4910
2014/10/25;1553;926;4665;2705;3896;1281;10114;4912
2014/10/22;1540;904;4665;2705;3706;1359;9911;4968
2014/10/17;1519;862;4262;2484;3410;1200;9191;4546
2014/10/15;1472;843;4249;2458;3252;1183;8973;4484
2014/10/10;1350;778;4076;2316;2950;930;8376;4024
2014/10/08;1298;768;3924;2210;2789;879;8011;3857
2014/10/03;1199;739;3834;2069;2437;623;7470;3431
2014/10/01;1157;710;3696;1998;2304;622;7157;3330
2014/09/26;1074;648;3458;1830;2021;605;6553;3083
2014/09/24;1022;635;3280;1677;1940;597;6242;2909
2014/09/22;1008;632;3022;1578;1813;593;5843;2803
2014/09/18;942;601;2710;1459;1673;562;5325;2622
2014/09/16;936;595;2407;1296;1620;562;4963;2453
2014/09/12;861;557;2081;1137;1424;524;4366;2218
2014/09/08;862;555;2046;1224;1361;509;4269;2288
2014/09/06;812;517;1871;1089;1261;491;3944;2097
2014/08/28;648;430;1378;694;1026;422;3052;1546
2014/08/22;607;406;1082;624;910;392;2599;1422
2014/08/21;579;396;972;576;907;374;2458;1346
2014/08/19;543;394;834;466;848;365;2225;1225
2014/08/15;519;380;786;348;810;348;2115;1076
2014/08/13;510;377;670;355;783;334;1963;1066
2014/08/12;506;373;599;323;730;315;1835;1011
2014/08/08;495;367;554;294;717;298;1766;959
2014/08/04;485;358;486;255;646;273;1617;886
